"","Ebird_Species","PC1_Bodymass","PC2_Trophic","PC2_Locomotory"
"1","Accipiter badius",-1.62674039195377,-0.541367217556285,0.220037956046171
"2","Accipiter melanoleucus",-2.83619208865456,-0.420265408411992,0.652380874561671
"3","Accipiter minullus",-0.89895078537932,-0.507202228729924,0.20024524688915
"4","Accipiter ovampensis",-1.87372765445022,-0.445365490823327,0.168705431739176
"5","Accipiter tachiro",-1.83686666078419,-0.540652917267869,0.808165243183977
"6","Acrocephalus arundinaceus",-0.143496126069913,0.243364533583513,-0.0992199159298209
"7","Acrocephalus gracilirostris",1.40212307931863,0.358573721680543,0.511899376512012
"8","Acrocephalus palustris",0.889343615611718,0.273011022091841,-0.371768509884601
"9","Acrocephalus scirpaceus",0.987036227406164,0.423054601216701,-0.306190319781869
"10","Actophilornis africanus",-1.08342714418772,0.623690281793748,0.188156578144718
"11","Agricola pallidus",0.617406667303955,0.177996799144724,0.126141465824556
"12","Amandava subflava",2.16982381866834,-0.478380303988092,-0.322815431888245
"13","Amblyospiza albifrons",-0.0589264629357013,-0.673849842380385,0.265391767960796
"14","Anaplectes rubriceps",0.522538232572066,-0.0635908322575281,-0.0375408103429106
"15","Anas sparsa",-2.83264476603964,-0.0834156754986808,-0.224020128056494
"16","Anomalospiza imberbis",0.975902223844256,-0.488349322476413,-0.429430536157983
"17","Anthoscopus caroli",2.15851519508114,-0.0280997019267396,-0.255203192885385
"18","Anthreptes longuemarei",1.08263834281972,0.474373370878727,-0.0391163937550011
"19","Anthus caffer",1.15244121590438,0.0601038636638959,-0.14604172580447
"20","Anthus cinnamomeus",0.435000541148873,0.156056662845055,-0.0517132326622498
"21","Anthus leucophrys",0.251166140289163,0.259389365624964,-0.123623672316129
"22","Anthus nyassae",0.637658212841921,0.188200897033628,0.181576348411934
"23","Anthus trivialis",0.558843069474785,0.17107485136652,-0.401881554014403
"24","Apalis alticola",1.95534923069764,0.294090706677701,0.389911834811507
"25","Apalis flavida",2.3188678427401,0.336043637165736,0.628959349331644
"26","Apalis rufogularis",2.3659554829307,0.281791960840197,0.488678789806165
"27","Apaloderma narina",-1.12926340621977,-0.548072698924702,-0.492166233050138
"28","Apus affinis",0.286552694347773,-0.565543986865224,-1.88470888090249
"29","Apus apus",-0.155912988682327,-0.274295678412191,-1.93140930569004
"30","Apus caffer",0.282584931797774,-0.187831692662985,-1.7551407892512
"31","Atimastillas flavicollis",0.218701201593483,0.153397291682115,0.594461689471905
"32","Aviceda cuculoides",-2.42344485318606,-0.445236570140925,-0.155927050006493
"33","Baeopogon indicator",0.51022780259582,0.145271824323464,0.268515328957611
"34","Batis margaritae",1.55735197413045,-0.0199905246172942,0.43716540461342
"35","Batis molitor",1.56590457714382,-0.00482582970178458,0.12895353519936
