Country,Locality,Site_ID_OLD,Site_ID_CORRECTED,Site_Original,Site_Revised_Old,Site_Revised,Plot,Plot_Original,Latitude,Longitude,GPS waypoint,Day,Month,Year,Observer,Time Started,Common Name,Common Name Revised,Ebird_Species,BirdLife_Species,Jetz_Species,Subspecies,Perch Under 50m,Flyover Under 50m,Over 50m,Observation type,Temp,Clouds,Wind,Rain,Notes
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,African Paradise-Flycatcher,African Paradise-Flycatcher,Terpsiphone viridis,,,,1,0,0,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Black-backed Puffback,Black-backed Puffback,Dryoscopus cubla,,,,0,0,1,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Black-crowned Tchagra,Black-crowned Tchagra,Tchagra senegalus,,,,0,0,1,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Black-headed Oriole,Black-headed Oriole,Oriolus larvatus,,,,0,0,1,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Broad-tailed Paradise Whydah,Broad-tailed Paradise Whydah,Vidua obtusa,,,,0,1,0,SEEN,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Chinspot Batis,Chinspot Batis,Batis molitor,,,,0,0,1,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Dark-capped Bulbul,Dark-capped Bulbul,Pycnonotus barbatus,,,[tricolor Group],0,0,1,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Emerald-spotted Wood-Dove,Emerald-spotted Wood-Dove,Turtur chalcospilos,,,,1,0,0,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Fork-tailed Drongo,Fork-tailed Drongo,Dicrurus adsimilis,,,,1,0,0,HEARD,20,100,STILL,NONE,
Zambia,Chitokoloki,7CHI10_1_2532021,7CHI10_1_2532021,7CHI10,7CHI10,7CHI10,1,1,-13.9264602,23.22641,0325 01,25,3,2021,Frank Willems & Maggie Mwale,6:24:00 AM,Grey-backed Camaroptera,Grey-backed Camaroptera,Camaroptera brachyura,,,,1,0,0,HEARD,20,100,STILL,NONE,
