Country,Locality,Site_ID,Site_original,Site_Revised,Plot,Plot_Original,Transect,GPS_Waypoint,Latitude,Longitude,Day,Month,Year,Season,MaxCan,MinCan,MeanCan,MaxVis,MeanVis,TreeS,TreeM,TreeL,TreeTotal,Site_Type_Major,Site_Type_Minor,Transect_Type,Notes
Zambia,Mayukwayukwa,18MYA19_1_1032021,18MYA19,18MYA19,1,1,T1_10321,0310 01,-14.587495,24.17368,10,3,2021,Season 1,8,0,4,200,30,25,2,0,27,Agriculture,Agriculture,Agriculture,"25% maize, 75% miombo"
Zambia,Mayukwayukwa,18MYA19_2_1032021,18MYA19,18MYA19,2,2,T1_10321,0310 02,-14.58791,24.171884,10,3,2021,Season 1,5,0,2,200,50,40,0,0,40,Agriculture,Agriculture,Agriculture,"50% maize, 50% secondary miombo"
Zambia,Mayukwayukwa,18MYA19_3_1032021,18MYA19,18MYA19,3,3,T1_10321,0310 03,-14.588323,24.170053,10,3,2021,Season 1,5,0,3,50,20,25,0,0,25,Agriculture,Agriculture,Agriculture,low secondary woodland
Zambia,Mayukwayukwa,18MYA18_4_1032021,18MYA19,18MYA18,4,4,T1_10321,0310 04,-14.588731,24.168259,10,3,2021,Season 1,4,0,0,100,50,3,0,0,3,Agriculture,Agriculture,Agriculture,"50% cleared, 50% open low woodland"
Zambia,Mayukwayukwa,18MYA18_5_1032021,18MYA19,18MYA18,5,5,T1_10321,0310 05,-14.589173,24.166414,10,3,2021,Season 1,4,0,1,100,50,5,0,0,5,Agriculture,Agriculture,Agriculture,"50% cassava, 50% secondary woodland"
Zambia,Mayukwayukwa,17MYA18_6_1032021,18MYA19,17MYA18,6,6,T1_10321,0310 06,-14.589586,24.164613,10,3,2021,Season 1,8,0,2,200,100,3,2,0,5,Agriculture,Agriculture,Agriculture,open sandveld
Zambia,Mayukwayukwa,17MYA18_7_1032021,17MYA18,17MYA18,1,7,T2_10321,0310 07,-14.589968,24.162773,10,3,2021,Season 1,5,0,0,200,100,2,0,0,2,Agriculture,Agriculture,Agriculture,low open sandveld woodland. Few cattle tracks
Zambia,Mayukwayukwa,17MYA18_8_1032021,17MYA18,17MYA18,2,8,T2_10321,0310 08,-14.590386,24.160952,10,3,2021,Season 1,0,0,0,200,100,0,0,0,0,Agriculture,Agriculture,Agriculture,Secondary shrubs on sandy soils. Some big trees beyond
Zambia,Mayukwayukwa,17MYA18_9_1032021,17MYA18,17MYA18,3,9,T2_10321,0310 09,-14.59081,24.159137,10,3,2021,Season 1,2,0,0,200,100,0,0,0,0,Agriculture,Agriculture,Agriculture,Cassava 100%
Zambia,Mayukwayukwa,17MYA18_10_1032021,17MYA18,17MYA18,4,10,T2_10321,0310 10,-14.591295,24.157335,10,3,2021,Season 1,2,0,0,100,100,0,0,0,0,Agriculture,Agriculture,Agriculture,"Fallow fields, secondary shrubs. Big trees beyond"
Zambia,Mayukwayukwa,16MYA18_11_1032021,17MYA18,16MYA18,5,11,T2_10321,0310 11,-14.591729,24.155505,10,3,2021,Season 1,12,0,0,200,100,4,1,0,5,Agriculture,Agriculture,Agriculture,Maize 100%
Zambia,Mayukwayukwa,16MYA18_12_1032021,17MYA18,16MYA18,6,12,T2_10321,0310 12,-14.592256,24.153712,10,3,2021,Season 1,2,0,1,200,200,0,0,0,0,Agriculture,Agriculture,Agriculture,"50% cassava, 50% fallow"
Zambia,Mayukwayukwa,19MYA14_1_1132021,19MYA15,19MYA14,1,1,T1_11321,0311 01,-14.624776,24.180391,11,3,2021,Season 1,12,0,3,150,75,4,2,0,6,Agriculture,Agriculture,Agriculture,"50% maize, 50% semi-intact primary miombo"
Zambia,Mayukwayukwa,19MYA15_2_1132021,19MYA15,19MYA15,2,2,T1_11321,0311 02,-14.622981,24.180368,11,3,2021,Season 1,5,0,1,200,75,18,0,0,18,Agriculture,Agriculture,Agriculture,"25% maize, 25% cassava, 50% degenerated primary miombo"
Zambia,Mayukwayukwa,19MYA15_3_1132021,19MYA15,19MYA15,3,3,T1_11321,0311 03,-14.621188,24.180316,11,3,2021,Season 1,12,0,2,200,100,6,1,0,7,Agriculture,Agriculture,Agriculture,50% open miombo (playground near school). Intact primary miombo beyond. 50% maize
Zambia,Mayukwayukwa,19MYA15_4_1132021,19MYA15,19MYA15,4,4,T1_11321,0311 04,-14.619397,24.180253,11,3,2021,Season 1,0,0,0,150,100,1,0,0,1,Agriculture,Agriculture,Agriculture,100% cassava. Intact miombo beyond
Zambia,Mayukwayukwa,19MYA15_5_1132021,19MYA15,19MYA15,5,5,T1_11321,0311 05,-14.617521,24.180223,11,3,2021,Season 1,6,0,1,200,100,5,1,0,6,Agriculture,Agriculture,Agriculture,"50% cassava, 50% maize. Intact miombo beyond"
Zambia,Mayukwayukwa,19MYA16_6_1132021,19MYA15,19MYA16,6,6,T1_11321,0311 06,-14.615583,24.180151,11,3,2021,Season 1,12,0,1,100,75,1,2,0,3,Agriculture,Agriculture,Agriculture,100% cassava with some scattered trees
Zambia,Mayukwayukwa,19MYA16_7_1132021,18MYA14,19MYA16,1,7,T2_11321,0311 07,-14.613419,24.180117,11,3,2021,Season 1,12,0,1,200,75,16,1,0,17,Agriculture,Agriculture,Agriculture,"50% cassava, 50% degenerated miombo woodland"
Zambia,Mayukwayukwa,19MYA16_8_1132021,18MYA14,19MYA16,2,8,T2_11321,0311 08,-14.613589,24.182029,11,3,2021,Season 1,6,0,3,20,20,38,0,0,38,Agriculture,Agriculture,Agriculture,degenerated low open miombo
Zambia,Mayukwayukwa,20MYA16_9_1132021,18MYA14,20MYA16,3,9,T2_11321,0311 09,-14.613716,24.183913,11,3,2021,Season 1,5,0,3,50,20,25,0,0,25,Agriculture,Agriculture,Agriculture,"degenerated miombo, old fields & coppice growth"
Zambia,Mayukwayukwa,20MYA16_10_1132021,18MYA14,20MYA16,4,10,T2_11321,0311 10,-14.613875,24.185769,11,3,2021,Season 1,12,0,4,40,25,22,1,1,24,Agriculture,Agriculture,Agriculture,"50% primary miombo, 50% low secondary miombo"
Zambia,Mayukwayukwa,20MYA16_11_1132021,18MYA14,20MYA16,5,11,T2_11321,0311 11,-14.614018,24.187698,11,3,2021,Season 1,8,0,1,200,100,5,0,0,5,Agriculture,Agriculture,Agriculture,"50% maize, 50% cassava"
Zambia,Mayukwayukwa,20MYA16_12_1132021,18MYA14,20MYA16,6,12,T2_11321,0311 12,-14.61417,24.189612,11,3,2021,Season 1,6,0,2,200,100,20,0,0,20,Agriculture,Agriculture,Agriculture,"50% cassava, 50% dense secondary miombo"
Zambia,Mayukwayukwa,22MYA6_1_1232021,22MYA5,22MYA6,1,1,T1_12321,0312 01,-14.704203,24.209304,12,3,2021,Season 1,12,0,4,200,75,4,2,0,6,Agriculture,Agriculture,Agriculture,"Narrow dry dambo, flanked by miombo sand forest. Fields behind on 1 side"
Zambia,Mayukwayukwa,22MYA6_2_1232021,22MYA5,22MYA6,2,2,T1_12321,0312 02,-14.704805,24.207542,12,3,2021,Season 1,10,0,5,200,100,10,2,0,12,Agriculture,Agriculture,Agriculture,Top-end of dambo flanked by miombo sand forest. Fields beyond
Zambia,Mayukwayukwa,22MYA6_3_1232021,22MYA5,22MYA6,3,3,T1_12321,0312 03,-14.705405,24.205773,12,3,2021,Season 1,12,0,8,200,100,13,2,0,15,Agriculture,Agriculture,Agriculture,50% primary miombo (some tree cutting). 50% former fields
Zambia,Mayukwayukwa,22MYA5_4_1232021,22MYA5,22MYA5,4,4,T1_12321,0312 04,-14.706016,24.203986,12,3,2021,Season 1,12,0,8,100,50,44,2,0,46,Agriculture,Agriculture,Agriculture,Semi-intact open primary miombo 50%. Secondary growth (former field) 50%
Zambia,Mayukwayukwa,22MYA5_5_1232021,22MYA5,22MYA5,5,5,T1_12321,0312 05,-14.706739,24.202292,12,3,2021,Season 1,12,0,6,80,40,18,2,0,20,Agriculture,Agriculture,Agriculture,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,21MYA5_6_1232021,22MYA5,21MYA5,6,6,T1_12321,0312 06,-14.707454,24.200586,12,3,2021,Season 1,10,0,4,75,40,15,0,0,15,Agriculture,Agriculture,Agriculture,Primary open miombo. Some tree cutting (caterpillar & timber harvesting)
Zambia,Mayukwayukwa,21MYA5_7_1232021,21MYA5,21MYA5,1,7,T2_12321,0312 07,-14.708192,24.198881,12,3,2021,Season 1,12,0,4,75,40,20,1,0,21,Forest,Forest,Forest,Primary open miombo. Timber extraction
Zambia,Mayukwayukwa,21MYA5_8_1232021,21MYA5,21MYA5,2,8,T2_12321,0312 08,-14.708958,24.197215,12,3,2021,Season 1,12,0,6,100,50,8,1,1,10,Forest,Forest,Forest,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,21MYA5_9_1232021,21MYA5,21MYA5,3,9,T2_12321,0312 09,-14.709236,24.195366,12,3,2021,Season 1,12,0,5,75,50,24,0,0,24,Forest,Forest,Forest,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,21MYA5_10_1232021,21MYA5,21MYA5,4,10,T2_12321,0312 10,-14.710384,24.193928,12,3,2021,Season 1,12,0,5,75,50,15,1,0,16,Forest,Forest,Forest,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,21MYA5_11_1232021,21MYA5,21MYA5,5,11,T2_12321,0312 11,-14.711098,24.192206,12,3,2021,Season 1,12,0,5,100,70,18,0,1,19,Forest,Forest,Forest,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,20MYA5_12_1232021,21MYA5,20MYA5,6,12,T2_12321,0312 12,-14.711786,24.19046,12,3,2021,Season 1,12,0,5,100,75,11,0,1,12,Forest,Forest,Forest,Primary open miombo. Some tree cutting (caterpillar harvesting)
Zambia,Mayukwayukwa,16MYA9_1_1332021,18MYA5,16MYA9,1,1,T1_13321,0313 01,-14.675369,24.151344,13,3,2021,Season 1,7,0,3,50,50,16,1,0,17,Forest Edge,Forest,Forest,Open miombo. Some tree cutting
Zambia,Mayukwayukwa,16MYA9_2_1332021,18MYA5,16MYA9,2,2,T1_13321,0313 02,-14.675942,24.149577,13,3,2021,Season 1,12,5,10,80,50,6,4,0,10,Forest Edge,Forest,Forest,Open miombo. Some tree cutting
Zambia,Mayukwayukwa,16MYA9_3_1332021,18MYA5,16MYA9,3,3,T1_13321,0313 03,-14.676351,24.147742,13,3,2021,Season 1,10,0,6,100,60,12,1,0,13,Forest Edge,Forest,Forest,Open miombo.
Zambia,Mayukwayukwa,15MYA9_4_1332021,18MYA5,15MYA9,4,4,T1_13321,0313 04,-14.676903,24.145955,13,3,2021,Season 1,8,0,5,100,50,12,1,0,13,Forest,Forest,Forest,Open miombo. Some tree cutting
Zambia,Mayukwayukwa,15MYA9_5_1332021,18MYA5,15MYA9,5,5,T1_13321,0313 05,-14.677584,24.144246,13,3,2021,Season 1,10,0,5,80,50,7,1,0,8,Forest,Forest,Forest,Open miombo. Some tree cutting
Zambia,Mayukwayukwa,15MYA8_6_1332021,18MYA5,15MYA8,6,6,T1_13321,0313 06,-14.679015,24.143094,13,3,2021,Season 1,10,0,8,100,50,10,2,0,12,Forest Edge,Forest,Forest,Open miombo. Some tree cutting / burning
Zambia,Mayukwayukwa,15MYA8_7_1332021,17MYA4,15MYA8,1,7,T2_13321,0313 07,-14.680609,24.142186,13,3,2021,Season 1,8,0,3,60,40,14,1,0,15,Forest,Forest,Forest,Open low tall-grass miombo
Zambia,Mayukwayukwa,15MYA8_8_1332021,17MYA4,15MYA8,2,8,T2_13321,0313 08,-14.681807,24.140748,13,3,2021,Season 1,8,0,3,60,30,14,3,0,17,Forest,Forest,Forest,Open miombo. Some tree cutting
Zambia,Mayukwayukwa,15MYA8_9_1332021,17MYA4,15MYA8,3,9,T2_13321,0313 09,-14.682618,24.139085,13,3,2021,Season 1,12,0,4,80,40,1,3,1,5,Forest,Forest,Forest,Open primary miombo. Some tree cutting
Zambia,Mayukwayukwa,14MYA8_10_1332021,17MYA4,14MYA8,4,10,T2_13321,0313 10,-14.683397,24.137363,13,3,2021,Season 1,12,12,12,80,40,12,3,0,15,Forest,Forest,Forest,Semi-closed sandforest miombo. Tall trees (beyond the 10 m)
Zambia,Mayukwayukwa,14MYA8_11_1332021,17MYA4,14MYA8,5,11,T2_13321,0313 11,-14.684167,24.135648,13,3,2021,Season 1,12,8,10,80,50,20,3,1,24,Forest,Forest,Forest,"Sandforest miombo, semi-intact"
Zambia,Mayukwayukwa,14MYA8_12_1332021,17MYA4,14MYA8,6,12,T2_13321,0313 12,-14.685154,24.134098,13,3,2021,Season 1,10,0,6,80,40,3,2,0,5,Forest,Forest,Forest,"Sandforest miombo, semi-intact"
Zambia,Mayukwayukwa,23MYA9_1_1432021,23MYA9,23MYA9,1,1,T1_14321,0314 01,-14.671032,24.211979,14,3,2021,Season 1,12,0,6,1000,50,37,0,0,37,Agriculture,Agriculture,Agriculture,"50% miombo with thicket, 50% moist grassland (dambo edge)"
Zambia,Mayukwayukwa,23MYA9_2_1432021,23MYA9,23MYA9,2,2,T1_14321,0314 02,-14.67212,24.213467,14,3,2021,Season 1,8,0,5,1000,50,16,2,0,18,Agriculture,Agriculture,Agriculture,"50% miombo woodland with mazie beyond, 50% moist grassland"
Zambia,Mayukwayukwa,23MYA9_3_1432021,23MYA9,23MYA9,3,3,T1_14321,0314 03,-14.672261,24.21532,14,3,2021,Season 1,0,0,0,1000,100,0,0,0,0,Agriculture,Agriculture,Agriculture,"middle of small dambo; beyond 50m = 50% maize field, 50% secondary miombo"
Zambia,Mayukwayukwa,23MYA9_4_1432021,23MYA9,23MYA9,4,4,T1_14321,0314 04,-14.672418,24.217182,14,3,2021,Season 1,8,0,1,300,10,12,1,0,13,Agriculture,Agriculture,Agriculture,Partly degenerated miombo
Zambia,Mayukwayukwa,23MYA9_5_1432021,23MYA9,23MYA9,5,5,T1_14321,0314 05,-14.673836,24.21837,14,3,2021,Season 1,12,0,2,1000,100,6,1,0,7,Agriculture,Agriculture,Agriculture,"50% mixed fields (maize, soya, sunflower), 50% semi-intact miombo"
Zambia,Mayukwayukwa,24MYA9_6_1432021,23MYA9,24MYA9,6,6,T1_14321,0314 06,-14.675591,24.218759,14,3,2021,Season 1,12,0,0,1000,200,0,1,1,2,Agriculture,Agriculture,Agriculture,100% maize
Zambia,Mayukwayukwa,24MYA9_7_1432021,24MYA9,24MYA9,1,7,T2_14321,0314 07,-14.676424,24.22043,14,3,2021,Season 1,4,0,0,1000,500,5,0,0,5,Agriculture,Agriculture,Agriculture,100% maize with strip of secondary trees
Zambia,Mayukwayukwa,24MYA9_8_1432021,24MYA9,24MYA9,2,8,T2_14321,0314 08,-14.676366,24.222297,14,3,2021,Season 1,10,0,2,1000,200,16,1,0,17,Agriculture,Agriculture,Agriculture,"50% fallow fields, 50% maize, narrow strip of trees"
Zambia,Mayukwayukwa,24MYA9_9_1432021,24MYA9,24MYA9,3,9,T2_14321,0314 09,-14.676289,24.224293,14,3,2021,Season 1,6,0,2,1000,200,22,0,0,22,Agriculture,Agriculture,Agriculture,"25% fallow, 25% maize, 50% degenerated miombo"
Zambia,Mayukwayukwa,24MYA9_10_1432021,24MYA9,24MYA9,4,10,T2_14321,0314 10,-14.675937,24.226129,14,3,2021,Season 1,12,0,2,1000,400,5,1,1,7,Agriculture,Agriculture,Agriculture,"50% maize, 50% secondary coppice with some semi-intact miombo beyond"
Zambia,Mayukwayukwa,25MYA9_11_1432021,24MYA9,25MYA9,5,11,T2_14321,0314 11,-14.675786,24.228005,14,3,2021,Season 1,10,0,1,1000,300,10,0,0,10,Forest Edge,Agriculture,Agriculture,"50% maize, 50% coppice growth with taller trees"
Zambia,Mayukwayukwa,25MYA9_12_1432021,24MYA9,25MYA9,6,12,T2_14321,0314 12,-14.67563,24.229865,14,3,2021,Season 1,0,0,0,1000,200,5,0,0,5,Forest Edge,Agriculture,Agriculture,"50% maize (soya beyond), 50% secondary coppice"
Zambia,Mayukwayukwa,19MYA6_1_1532021,16MYA9,19MYA6,1,1,T1_15321,0315 01,-14.704405,24.174109,15,3,2021,Season 1,12,0,6,200,75,14,3,1,18,Forest Edge,Forest,Forest,"50% primary miombo, 50% open miombo (tree cutting)"
Zambia,Mayukwayukwa,18MYA5_2_1532021,16MYA9,18MYA5,2,2,T1_15321,0315 02,-14.705559,24.172667,15,3,2021,Season 1,12,0,6,75,50,18,3,0,21,Forest,Forest,Forest,Open primary miombo. Some tree cutting
Zambia,Mayukwayukwa,18MYA5_3_1532021,16MYA9,18MYA5,3,3,T1_15321,0315 03,-14.706862,24.171346,15,3,2021,Season 1,12,12,12,100,75,23,4,0,27,Forest,Forest,Forest,Semi-intact miombo. Recent cearing beyond
Zambia,Mayukwayukwa,18MYA5_4_1532021,16MYA9,18MYA5,4,4,T1_15321,0315 04,-14.708031,24.16993,15,3,2021,Season 1,12,0,8,75,50,30,2,0,32,Forest,Forest,Forest,Semi-intact miombo
Zambia,Mayukwayukwa,18MYA5_5_1532021,16MYA9,18MYA5,5,5,T1_15321,0315 05,-14.709401,24.168662,15,3,2021,Season 1,12,0,8,75,50,20,4,1,25,Forest,Forest,Forest,Primary miombo. Some tree cutting
Zambia,Mayukwayukwa,18MYA5_6_1532021,16MYA9,18MYA5,6,6,T1_15321,0315 06,-14.710902,24.167568,15,3,2021,Season 1,12,0,2,150,50,10,1,0,11,Forest,Forest,Forest,50% intact miombo. 25% degraded miombo. 25% maize under canopy
Zambia,Mayukwayukwa,18MYA5_7_1532021,16MYA8,18MYA5,1,7,T2_15321,0315 07,-14.712289,24.16636,15,3,2021,Season 1,12,0,8,75,50,8,3,1,12,Forest Edge,Forest,Forest Edge,Primary miombo.
Zambia,Mayukwayukwa,18MYA5_8_1532021,16MYA8,18MYA5,2,8,T2_15321,0315 08,-14.713882,24.165266,15,3,2021,Season 1,12,12,12,150,75,14,5,0,19,Forest Edge,Agriculture,Forest Edge,50% intact primary miombo. 50% maize under canopy
Zambia,Mayukwayukwa,17MYA4_9_1532021,16MYA8,17MYA4,3,9,T2_15321,0315 09,-14.715198,24.163973,15,3,2021,Season 1,12,0,6,200,75,19,2,0,21,Forest Edge,Agriculture,Forest Edge,50% intact primary miombo. 50% maize under canopy
Zambia,Mayukwayukwa,17MYA4_10_1532021,16MYA8,17MYA4,4,10,T2_15321,0315 10,-14.717028,24.163925,15,3,2021,Season 1,12,0,8,200,75,19,3,0,22,Forest Edge,Agriculture,Forest Edge,50% intact primary miombo. 50% recently cleared / maize
Zambia,Mayukwayukwa,17MYA4_11_1532021,16MYA8,17MYA4,5,11,T2_15321,0315 11,-14.719258,24.163176,15,3,2021,Season 1,12,0,3,200,75,12,2,0,14,Forest Edge,Agriculture,Forest Edge,25% primary miombo. 25% cassava. 25% sorghum. 25% recently cleared
Zambia,Mayukwayukwa,17MYA4_12_1532021,16MYA8,17MYA4,6,12,T2_15321,0315 12,-14.720892,24.162337,15,3,2021,Season 1,12,0,8,100,75,21,4,0,25,Forest Edge,Forest,Forest Edge,Intact primary miombo
Zambia,Mayukwayukwa,13MYA13_1_1632021,13MYA13,13MYA13,1,1,T1_16321,0316 01,-14.636746,24.127969,16,3,2021,Season 1,12,2,10,75,50,18,7,0,25,Forest,Forest,Forest,Typical primary miombo
