system:index,count,﻿Site_ID,.geo
00000000000000000112,601782,15MYA8_8_10122021,"{""type"":""Polygon"",""coordinates"":[[[24.141002338421142,-14.677501022791722],[24.140586841041294,-14.677519011155413],[24.14017466577484,-14.67757283242037],[24.139769108178026,-14.677662056257978],[24.139373410905034,-14.677785969277195],[24.138990737785555,-14.677943580727485],[24.138624148532116,-14.678133630418975],[24.13827657427914,-14.678354598796684],[24.137950794149184,-14.678604719088257],[24.137649413033728,-14.678881991428158],[24.13737484076587,-14.679184198845547],[24.137129272851695,-14.679508924988006],[24.136914672914124,-14.679853573439576],[24.136732756989844,-14.680215388478684],[24.136584979804823,-14.680591477110106],[24.136472523138284,-14.680978832194851],[24.136396286368324,-14.681374356493194],[24.136356879274924,-14.681774887428505],[24.136354617158048,-14.682177222374108],[24.1363895183101,-14.682578144260876],[24.136461303863143,-14.682974447300873],[24.136569400012256,-14.68336296262137],[24.136712942597566,-14.683740583604228],[24.136890784008422,-14.684104290727992],[24.137101502354685,-14.684451175714022],[24.137343412832042,-14.684778464783552],[24.13761458119052,-14.685083540839555],[24.137912839198616,-14.685363964396073],[24.138235801979516,-14.685617493087445],[24.138580887080717,-14.685842099601416],[24.13894533512473,-14.686035987892643],[24.139326231875444,-14.686197607546779],[24.13972053154389,-14.686325666180275],[24.1401250811468,-14.686419139776572],[24.14053664572305,-14.686477280876069],[24.140951934206257,-14.686499624554235],[24.141367625746373,-14.686485992140048],[24.141780396269745,-14.686436492644996],[24.142186945064868,-14.686351521891195],[24.14258402118125,-14.686231759345663],[24.142968449429933,-14.686078162685947],[24.143337155777715,-14.685891960140772],[24.143687191931704,-14.685674640666885],[24.144015758917625,-14.68542794204076],[24.14432022946314,-14.685153836960469],[24.14459816900712,-14.684854517268914],[24.144847355166878,-14.684532376424738],[24.145065795507623,-14.684189990361045],[24.14525174347214,-14.683830096885224],[24.145403712343324,-14.68345557378463],[24.145520487128042,-14.683069415813272],[24.145601134267444,-14.682674710743575],[24.145645009096175,-14.68227461467491],[24.14565176099111,-14.68187232679617],[24.145621336168517,-14.681471063804429],[24.14555397810761,-14.68107403418412],[24.14545022559723,-14.680684412552436],[24.145310908421507,-14.680305314276149],[24.14513714071916,-14.679939770562617],[24.144930312069825,-14.679590704224264],[24.144692076378718,-14.679260906310173],[24.144424338648705,-14.67895301379158],[24.14412923974565,-14.678669488479605],[24.14380913927895,-14.678412597343733],[24.14346659673416,-14.678184394388285],[24.143104351008525,-14.677986704231689],[24.14272529851308,-14.677821107519787],[24.142332470016388,-14.677688928289697],[24.141929006414735,-14.677591223385164],[24.141518133622707,-14.677528774008012],[24.14110313678453,-14.677502079473138],[24.141002338421142,-14.677501022791722]]]}"
000000000000000003dd,804470,8MINS8_3_2832022,"{""type"":""Polygon"",""coordinates"":[[[24.155614812573287,-12.413093703133997],[24.155203253036714,-12.413111691556653],[24.15479498416066,-12.413165512996612],[24.154393270298954,-12.413254737119676],[24.154001323402152,-12.413378650525694],[24.15362227733972,-12.413536262451778],[24.153259162846002,-12.41372631269288],[24.152914883290194,-12.413947281676469],[24.152592191464095,-12.414197402610846],[24.152293667572852,-12.414474675609965],[24.15202169860494,-12.414776883681943],[24.15177845924605,-12.415101610453464],[24.151565894489607,-12.415446259488494],[24.151385704082966,-12.415808075046833],[24.15123932893369,-12.416184164116684],[24.151127939584704,-12.416571519545073],[24.15105242685057,-12.416967044081286],[24.151013394689897,-12.417367575141105],[24.15101115537104,-12.417769910093886],[24.151045726969826,-12.418170831870267],[24.15111683321963,-12.418567134685837],[24.151223905715007,-12.418955649675034],[24.151366088451567,-12.419333270230288],[24.151542244665887,-12.419696976843788],[24.15175096592092,-12.420043861253193],[24.151990583364412,-12.420371149698138],[24.152259181070395,-12.420676225101534],[24.152554611357164,-12.420956647998253],[24.152874511959336,-12.421210176043692],[24.15321632491666,-12.421434781946221],[24.153577317028592,-12.421628669680018],[24.153954601711035,-12.421790288848529],[24.154345162080332,-12.421918347083695],[24.154745875079982,-12.42201182038168],[24.15515353645693,-12.422069961292413],[24.15556488638761,-12.422092304897381],[24.155976635548726,-12.422078672527897],[24.156385491424086,-12.422029173194023],[24.156788184636945,-12.42194420271274],[24.157181495097277,-12.421824440542348],[24.157562277754526,-12.421670844348439],[24.15792748774991,-12.421484642344854],[24.158274204766975,-12.421267323471058],[24.15859965638555,-12.421020625484365],[24.158901240252263,-12.420746521062439],[24.159176544890336,-12.420447202027171],[24.159423368982115,-12.420125061816247],[24.15963973897023,-12.41978267634255],[24.159823924836648,-12.419422783394653],[24.159974453933412,-12.41904826074306],[24.160090122754696,-12.418662103127426],[24.160170006556058,-12.418267398308847],[24.160213466744096,-12.417867302378662],[24.160220155977633,-12.417465014521353],[24.16019002093972,-12.417063751433307],[24.16012330275854,-12.416666721602027],[24.160020535073972,-12.416277099651452],[24.159882539765473,-12.415898000958524],[24.15971042037553,-12.415532456743907],[24.159505553281566,-12.415183389836013],[24.159269576686874,-12.414853591302112],[24.15900437751879,-12.414545698133216],[24.158712076338993,-12.414262172161205],[24.158395010386513,-12.414005280376637],[24.158055714889255,-12.413777076804534],[24.157696902793287,-12.413579386083008],[24.157321443072096,-12.413413788875934],[24.15693233778905,-12.413281609236229],[24.15653269809652,-12.41318390402072],[24.156125719363335,-12.413121454441153],[24.15571465562946,-12.413094759818884],[24.155614812573287,-12.413093703133997]]]}"
000000000000000000c6,809036,14CHI18_6_2122021,"{""type"":""Polygon"",""coordinates"":[[[23.28799860240221,-13.850498305015439],[23.287584626927465,-13.850516293400794],[23.287173961409607,-13.850570114730054],[23.286769889345184,-13.850659338672548],[23.286375641521513,-13.850783251833896],[23.285994370188778,-13.850940863459016],[23.285629123859618,-13.851130913352458],[23.285282822937468,-13.851351881952795],[23.28495823636838,-13.851602002480563],[23.284657959502997,-13.851879275062691],[23.284384393345473,-13.852181482720605],[23.2841397253554,-13.85250620909421],[23.28392591195607,-13.85285085776017],[23.283744662889074,-13.853212672990072],[23.28359742754034,-13.853588761782587],[23.28348538334707,-13.853976116993605],[23.283409426378388,-13.854371641379352],[23.283370164165138,-13.854772172360416],[23.283367910836343,-13.855174507308657],[23.283402684601448,-13.855575429154861],[23.28347420759856,-13.855971732112394],[23.283581908110218,-13.856360247311157],[23.283724925129093,-13.856737868136896],[23.28390211523726,-13.857101575073166],[23.284112061744356,-13.857448459847317],[23.28435308601151,-13.857775748687343],[23.284623260870763,-13.858080824503553],[23.284920426032745,-13.85836124781763],[23.285242205359385,-13.85861477627165],[23.285586025863715,-13.858839382560953],[23.28594913828472,-13.859033270647354],[23.286328639072757,-13.859194890123053],[23.28672149360956,-13.859322948610181],[23.287124560477274,-13.859416422096865],[23.287534616582057,-13.859474563127],[23.287948382931432,-13.859496906778272],[23.288362550858963,-13.85948327438051],[23.28877380848648,-13.859433774944682],[23.289178867211902,-13.859348804291018],[23.28957448801091,-13.85922904188333],[23.289957507341725,-13.85907544539477],[23.290324862445836,-13.858889243048603],[23.29067361584217,-13.858671923795216],[23.291000978818662,-13.85842522540405],[23.29130433373339,-13.858151120565669],[23.291581254946724,-13.857851801115268],[23.29182952821718,-13.857529660503776],[23.29204716840585,-13.857187274656875],[23.29223243534784,-13.856827381375036],[23.292383847763876,-13.856452858439425],[23.292500195100928,-13.856066700598774],[23.292580547207315,-13.85567199562135],[23.29262426176502,-13.855271899603567],[23.292630989420022,-13.854869611732703],[23.292600676569727,-13.854468348705575],[23.29253356578544,-13.854071319007742],[23.292430193866757,-13.853681697258887],[23.29229138754345,-13.853302598829504],[23.29211825685964,-13.85293705493185],[23.291912186293093,-13.852587988384224],[23.291674823680957,-13.852258190242386],[23.291408067040596,-13.851950297484843],[23.29111404939093,-13.851666771930338],[23.290795121695723,-13.851409880556107],[23.290453834065392,-13.851181677374074],[23.29009291536742,-13.850983987009895],[23.28971525140852,-13.850818390116045],[23.28932386186287,-13.850686210735443],[23.28892187613089,-13.850588505716644],[23.288512508321325,-13.850526056265116],[23.288099031556644,-13.850499361698128],[23.28799860240221,-13.850498305015439]]]}"
0000000000000000018f,117025,19MYA16_8_1132021,"{""type"":""Polygon"",""coordinates"":[[[24.182030527213907,-14.609089494429755],[24.181615159440494,-14.609107482795247],[24.181203112745184,-14.609161304065541],[24.180797681657218,-14.609250527911852],[24.180402107820147,-14.60937444094287],[24.180019554077532,-14.60953205240767],[24.1796530791881,-14.60972210211592],[24.179305613372396,-14.609943070512116],[24.178979934886353,-14.610193190823285],[24.178678647808916,-14.6104704631833],[24.178404161221334,-14.610772670620648],[24.178158669944448,-14.611097396782295],[24.177944136988064,-14.61144204525166],[24.177762277852803,-14.611803860306603],[24.177614546809878,-14.612179948951399],[24.177502125268777,-14.612567304046628],[24.17742591232583,-14.612962828352222],[24.17738651756951,-14.61336335929133],[24.177384256200085,-14.613765694237154],[24.177419146502938,-14.614166616120553],[24.177490909695823,-14.614562919153704],[24.177598972151625,-14.614951434464102],[24.177742469978963,-14.61532905543392],[24.177920255924263,-14.615692762542118],[24.17813090854021,-14.616039647510565],[24.178372743547573,-14.616366936561036],[24.178643827299474,-14.616672012597146],[24.17894199224078,-14.616952436133534],[24.179264854238856,-14.617205964805201],[24.1796098316473,-14.617430571300526],[24.17997416595011,-14.617624459574753],[24.180354943821214,-14.617786079214083],[24.18074912042294,-14.617914137835424],[24.181153543756903,-14.618007611422623],[24.181564979872558,-14.618065752516364],[24.18198013873172,-14.618088096192299],[24.18239570052187,-14.618074463779475],[24.182808342207874,-14.618024964289337],[24.183214764109458,-14.617939993543853],[24.183611716291725,-14.617820231009757],[24.183996024557576,-14.61766663436425],[24.18436461583393,-14.617480431835592],[24.184714542748615,-14.617263112380009],[24.185043007201276,-14.617016413773385],[24.1853473827397,-14.616742308713171],[24.1856252355625,-14.61644298904164],[24.185874343980306,-14.616120848216774],[24.186092716179648,-14.615778462171074],[24.18627860614769,-14.615418568711354],[24.186430527630446,-14.615044045624455],[24.18654726601292,-14.614657887663942],[24.186627888026425,-14.614263182601906],[24.186671749205555,-14.613863086537465],[24.186678499035274,-14.613460798659379],[24.18664808374732,-14.613059535664704],[24.18658074674361,-14.612662506037957],[24.18647702664362,-14.612272884396548],[24.186337752971376,-14.611893786107554],[24.186164039516942,-14.61152824237874],[24.185957275425494,-14.611179176023015],[24.18571911408551,-14.610849378090023],[24.18545145990496,-14.610541485551593],[24.185156453081497,-14.610257960219485],[24.18483645248824,-14.610001069063834],[24.184494016812348,-14.609772866089576],[24.184131884096924,-14.609575175915747],[24.183752949849936,-14.609409579188748],[24.1833602438951,-14.609277399946162],[24.18295690614971,-14.609179695032145],[24.182546161522946,-14.60911724564882],[24.182131294135218,-14.609090551111278],[24.182030527213907,-14.609089494429755]]]}"
00000000000000000295,797859,37MIN34_11_532022,"{""type"":""Polygon"",""coordinates"":[[[24.34994689558351,-11.80256696419935],[24.349536275770337,-11.80258495263772],[24.349128939112617,-11.80263877412432],[24.34872814251881,-11.802727998323462],[24.348337090613114,-11.80285191183257],[24.34795891011592,-11.803009523885464],[24.34759662484673,-11.803199574273046],[24.347253131549262,-11.80342054341811],[24.34693117673194,-11.803670664523807],[24.346633334708844,-11.80394793769862],[24.34636198701668,-11.804250145945057],[24.346119303372262,-11.804574872884237],[24.345907224322797,-11.804919522074767],[24.345727445727725,-11.805281337771493],[24.345581405196214,-11.805657426958192],[24.345470270588876,-11.806044782478162],[24.345394930675678,-11.806440307077768],[24.34535598802498,-11.806840838170775],[24.34535375418058,-11.807243173125467],[24.34538824716554,-11.807644094872426],[24.345459191332974,-11.808040397628183],[24.34556601956499,-11.808428912529081],[24.34570787780256,-11.80880653297037],[24.345883631870112,-11.809170239447882],[24.346091876540452,-11.809517123703607],[24.346330946767726,-11.809844411982084],[24.346598930998592,-11.81014948721155],[24.346893686455356,-11.81042990993242],[24.347212856268822,-11.81068343780571],[24.347553888323986,-11.810908043545282],[24.34791405566778,-11.811101931130514],[24.34829047831576,-11.811263550169596],[24.348680146283186,-11.811391608298601],[24.349079943656378,-11.811485081517086],[24.34948667351164,-11.811543222377505],[24.349897083482478,-11.811565565962967],[24.350307891770434,-11.811551933605397],[24.350715813391506,-11.81150243431448],[24.351117586447984,-11.811417463905824],[24.35150999821558,-11.811297701835418],[24.351889910837084,-11.81114410576565],[24.352254286416898,-11.810957903906408],[24.35260021131568,-11.810740585192544],[24.352924919450786,-11.810493887376273],[24.353225814415968,-11.810219783129808],[24.35350049024355,-11.809920464269453],[24.35374675064288,-11.809598324227297],[24.353962626561355,-11.809255938910852],[24.35414639192747,-11.808896046103655],[24.354296577450192,-11.808521523571724],[24.354411982364347,-11.808135366050898],[24.354491684028105,-11.807740661299249],[24.354535045296128,-11.80734056540597],[24.35454171960941,-11.806938277554371],[24.354511653761328,-11.80653701444066],[24.354445088317927,-11.806139984553154],[24.35434255568929,-11.805750362517593],[24.35420487586748,-11.805371263713624],[24.35403314986539,-11.805005719365456],[24.353828750909067,-11.80465665230577],[24.353593313454027,-11.80432685360668],[24.353328720113566,-11.804018960264466],[24.35303708660361,-11.803735434116547],[24.35272074482458,-11.803478542159091],[24.35238222421554,-11.803250338422638],[24.35202423152976,-11.803052647550548],[24.351649629193368,-11.8028870502115],[24.35126141242003,-11.802754870462625],[24.35086268526463,-11.802657165164236],[24.350456635807305,-11.802594715530722],[24.350046510666054,-11.802568020885163],[24.34994689558351,-11.80256696419935]]]}"
000000000000000003cf,302663,8CHI20_8_26112021,"{""type"":""Polygon"",""coordinates"":[[[23.23200121137305,-13.834499050435676],[23.23158726438198,-13.834517038821451],[23.231176627120288,-13.834570860151949],[23.230772582858812,-13.834660084096466],[23.23037836216278,-13.834783997260555],[23.22999711706567,-13.834941608889041],[23.229631895870494,-13.835131658786375],[23.22928561877986,-13.835352627391005],[23.22896105454936,-13.835602747923327],[23.22866079835106,-13.835880020510123],[23.228387251023893,-13.836182228172671],[23.228142599876843,-13.836506954550732],[23.227928801198452,-13.836851603220826],[23.22774756461248,-13.837213418454404],[23.22760033940491,-13.837589507250025],[23.22748830293169,-13.837976862463476],[23.227412351199987,-13.838372386850908],[23.227373091698546,-13.838772917832854],[23.227370838534473,-13.839175252781144],[23.227405609915646,-13.839576174626567],[23.227477127999,-13.839972477582512],[23.227584821106138,-13.84036099277893],[23.227727828288714,-13.840738613601637],[23.22790500620728,-13.841102320534295],[23.228114938268785,-13.841449205304363],[23.228355945949733,-13.841776494139966],[23.228626102214733,-13.842081569951551],[23.228923246923035,-13.842361993260957],[23.22924500410014,-13.842615521710405],[23.229588800936227,-13.842840127995375],[23.229951888359636,-13.843034016077828],[23.230331363020717,-13.843195635550085],[23.230724190510294,-13.843323694034392],[23.231127229626978,-13.843417167518963],[23.231537257499028,-13.843475308547761],[23.23195099535996,-13.843497652198515],[23.232365134771378,-13.843484019801071],[23.23277636408335,-13.843434520366381],[23.23318139492046,-13.843349549714649],[23.2335769884816,-13.84322978730962],[23.23395998144299,-13.843076190824359],[23.234327311257132,-13.842889988482025],[23.234676040645315,-13.842672669232892],[23.23500338108756,-13.842425970846252],[23.235306715122164,-13.842151866012536],[23.235583617276482,-13.841852546566782],[23.235831873461407,-13.841530405959771],[23.236049498674564,-13.841188020117047],[23.236234752870715,-13.84082812683895],[23.23638615487233,-13.840453603906523],[23.236502494209493,-13.840067446068389],[23.23658284079428,-13.839672741092743],[23.236626552352597,-13.839272645075942],[23.23663327955417,-13.838870357205229],[23.236602968799783,-13.838469094177418],[23.236535862643752,-13.838072064478093],[23.236432497848416,-13.837682442726978],[23.2362937010864,-13.837303344294645],[23.236120582325164,-13.836937800393443],[23.235914525946985,-13.836588733841781],[23.235677179675452,-13.836258935695556],[23.235410441397175,-13.835951042933404],[23.2351164439842,-13.835667517374228],[23.234797538238496,-13.835410625995404],[23.234456274095013,-13.835182422809],[23.234095380233516,-13.834984732440823],[23.233717742262247,-13.834819135543462],[23.233326379647764,-13.834686956159963],[23.232924421575323,-13.83458925113896],[23.23251508193272,-13.834526801685998],[23.232101633617432,-13.834500107118393],[23.23200121137305,-13.834499050435676]]]}"
000000000000000000a0,808861,13CHI9_6_2832021,"{""type"":""Polygon"",""coordinates"":[[[23.278710294907892,-13.928728773897092],[23.278296179636914,-13.928746762280406],[23.277885375439446,-13.928800583603605],[23.277481166919777,-13.92888980753621],[23.27708678595523,-13.929013720684157],[23.276705385859625,-13.929171332292793],[23.27634001617437,-13.929361382167192],[23.275993598288583,-13.929582350746541],[23.27566890208309,-13.929832471252038],[23.27536852378491,-13.930109743811329],[23.27509486520921,-13.930411951446564],[23.27485011455469,-13.930736677798377],[23.274636228906004,-13.931081326444124],[23.274454918582997,-13.931443141656036],[23.27430763346214,-13.931819230433366],[23.2741955513795,-13.932206585632475],[23.274119568708194,-13.93260211000998],[23.274080293185676,-13.933002640986732],[23.274078039048582,-13.933404975934723],[23.27411282451399,-13.933805897784753],[23.274184371627648,-13.934202200750061],[23.27429210848037,-13.934590715960303],[23.27443517377527,-13.934968336800855],[23.274612423709325,-13.935332043754803],[23.274822441114562,-13.935678928548933],[23.275063546785777,-13.936006217410597],[23.275333812904506,-13.936311293249414],[23.27563107845183,-13.936591716586348],[23.275952966486972,-13.936845245062749],[23.276296903153483,-13.937069851373233],[23.276660138261075,-13.937263739478947],[23.27703976727845,-13.937425358971467],[23.277432754561225,-13.937553417472396],[23.277835957629147,-13.937646890969413],[23.27824615229826,-13.93770503200609],[23.278660058466986,-13.937727375659897],[23.279074366349708,-13.937713743260588],[23.279485762947974,-13.937664243819174],[23.27989095854735,-13.93757927315607],[23.280286713027987,-13.937459510735385],[23.280669861778197,-13.93730591423069],[23.28103734100379,-13.937119711865758],[23.281386212230537,-13.936902392591582],[23.281713685803712,-13.936655694178262],[23.28201714319676,-13.936381589317074],[23.282294157950545,-13.936082269843936],[23.28254251507576,-13.935760129210506],[23.28276022876334,-13.93541774334316],[23.28294555826123,-13.935057850043036],[23.283097021790653,-13.93468332709187],[23.28321340839078,-13.934297169238894],[23.283293787596968,-13.933902464252773],[23.283337516875616,-13.933502368230192],[23.283344246756158,-13.933100080358583],[23.2833139236194,-13.932698817334792],[23.283246790120078,-13.932301787644267],[23.28314338324054,-13.931912165906459],[23.283004529991167,-13.931533067491515],[23.2828313407922,-13.931167523611219],[23.282625200590072,-13.930818457083323],[23.282387757779365,-13.93048865896296],[23.282120911019103,-13.930180766227943],[23.28182679404899,-13.929897240696308],[23.281507758626983,-13.92964034934455],[23.281166355724643,-13.929412146183875],[23.280805315130742,-13.92921445583927],[23.28042752362606,-13.929048858962577],[23.280036001903845,-13.928916679596167],[23.279633880420466,-13.92881897458814],[23.279224374369083,-13.928756525143623],[23.278810757976405,-13.928729830579663],[23.278710294907892,-13.928728773897092]]]}"
0000000000000000033e,809218,50ZAM5_12_19112021,"{""type"":""Polygon"",""coordinates"":[[[23.533998289318713,-13.530499836116999],[23.533584876677658,-13.530517824510698],[23.533174769497904,-13.530571645864715],[23.53277124681623,-13.530660869847592],[23.532377535031436,-13.53078478306366],[23.531996782111495,-13.53094239475609],[23.531632032427176,-13.531132444727284],[23.53128620241343,-13.531353413413335],[23.530962057252857,-13.531603534032039],[23.530662188767693,-13.531880806707427],[23.530388994696935,-13.532183014457946],[23.530144659524343,-13.532507740920545],[23.529931137010536,-13.532852389669046],[23.529750134568896,-13.533214204972401],[23.529603099610355,-13.533590293826942],[23.529491207966164,-13.533977649086577],[23.529415354481515,-13.534373173505971],[23.529376145855252,-13.534773704504651],[23.529373895783163,-13.535176039453908],[23.529408622443786,-13.535576961284495],[23.5294800483471,-13.53597326421028],[23.529587602547434,-13.536361779362174],[23.529730425203148,-13.536739400127418],[23.52990737444677,-13.537103106991502],[23.530117035510784,-13.537449991684081],[23.530357732036375,-13.537777280435748],[23.53062753947464,-13.538082356159633],[23.53092430047335,-13.538362779380368],[23.53124564212629,-13.538616307743009],[23.531588994947118,-13.538840913945812],[23.53195161341625,-13.539034801953353],[23.532330597936276,-13.539196421360348],[23.532722918020312,-13.539324479791127],[23.533125436527847,-13.539417953235606],[23.53353493475407,-13.539476094239038],[23.53394813817194,-13.539498437879955],[23.534361742621073,-13.539484805488517],[23.534772440733686,-13.53943530607549],[23.535176948386322,-13.539350335460382],[23.535572030965437,-13.539230573105765],[23.535954529236868,-13.539076976683104],[23.536321384611934,-13.53889077441355],[23.53666966360817,-13.53867345524506],[23.536996581308845,-13.538426756944354],[23.537299523633653,-13.53815265219911],[23.537576068242387,-13.537853332841554],[23.537824003904383,-13.537531192319648],[23.53804134817887,-13.537188806556212],[23.538226363264908,-13.536828913349058],[23.538377569894145,-13.536454390476967],[23.538493759155468,-13.53606823268664],[23.53857400215707,-13.535673527744743],[23.53861765744886,-13.535273431746552],[23.53862437614594,-13.53487114387872],[23.538594104712498,-13.534469880837968],[23.53852708538387,-13.534072851110286],[23.53842385422376,-13.533683229316317],[23.538285236832195,-13.533304130827997],[23.538112341738824,-13.532938586859451],[23.537906551534466,-13.532589520231253],[23.537669511812055,-13.532259722001731],[23.537403118005454,-13.531951829152186],[23.53710950023151,-13.531668303504311],[23.53679100625665,-13.531411412038311],[23.53645018272414,-13.531183208769038],[23.536089754792272,-13.53098551832494],[23.53571260434609,-13.53081992136104],[23.535321746956964,-13.530687741922488],[23.53492030777398,-13.530590036859696],[23.534511496539967,-13.530527587379535],[23.534098581931627,-13.53050089280018],[23.533998289318713,-13.530499836116999]]]}"
000000000000000002de,513667,45ZAM10_4_1242021,"{""type"":""Polygon"",""coordinates"":[[[23.48207205755134,-13.486252176363658],[23.48165872160141,-13.486270164758505],[23.481248690500227,-13.486323986115941],[23.48084524267688,-13.486413210104399],[23.480451603932227,-13.486537123328022],[23.480070921650732,-13.486694735029742],[23.479706239638816,-13.48688478501167],[23.479360473790685,-13.487105753709555],[23.479036388776144,-13.487355874340814],[23.47873657593664,-13.487633147029078],[23.47846343256628,-13.487935354792379],[23.478219142743317,-13.488260081267267],[23.47800565986556,-13.488604730027161],[23.47782469102916,-13.48896654534066],[23.477677683375912,-13.489342634203764],[23.47756581251824,-13.489729989470108],[23.477489973134553,-13.490125513894151],[23.47745077181033,-13.490526044895262],[23.477448522182307,-13.49092837984466],[23.477483242424796,-13.49132930167309],[23.477554655098444,-13.491725604594492],[23.477662189362732,-13.492114119739917],[23.47780498553486,-13.49249174049681],[23.47798190195859,-13.492855447350927],[23.478191524128434,-13.49320233203224],[23.478432175996225,-13.49352962077171],[23.478701933369933,-13.493834696482848],[23.47899863929756,-13.494115119690695],[23.47931992131324,-13.494368648040725],[23.47966321040764,-13.49459325423158],[23.48002576157098,-13.494787142228235],[23.480404675744385,-13.494948761625746],[23.48079692300392,-13.495076820048745],[23.481199366791905,-13.4951702934874],[23.481608789001584,-13.495228434487146],[23.482021915714395,-13.49525077812663],[23.48243544338394,-13.495237145736066],[23.482846065257046,-13.495187646326187],[23.483250497820503,-13.4951026757164],[23.483645507061805,-13.49498291336911],[23.48402793433373,-13.494829316955546],[23.484394721615804,-13.494643114696576],[23.484742935970395,-13.494425795539803],[23.48506979299794,-13.494179097251587],[23.48537267910344,-13.493904992519203],[23.485649172396258,-13.493605673174462],[23.48589706205598,-13.493283532664925],[23.486114366009488,-13.492941146913012],[23.486299346777944,-13.49258125371617],[23.486450525367008,-13.49220673085285],[23.48656669308927,-13.491820573069472],[23.48664692122459,-13.49142586813248],[23.486690568441134,-13.49102577213699],[23.486697285917916,-13.490623484269577],[23.486667020128213,-13.490222221226942],[23.486600013261583,-13.489825191495143],[23.48649680128143,-13.489435569694942],[23.48635820963385,-13.489056471198484],[23.486185346642102,-13.488690927220153],[23.48597959463991,-13.488341860580832],[23.485742598914396,-13.488012062339205],[23.485476254547383,-13.487704169476961],[23.485182691260302,-13.487420643816192],[23.48486425638389,-13.48716375233752],[23.484523496089007,-13.486935549056204],[23.484163135028517,-13.48673785860107],[23.483786054553118,-13.4865722616275],[23.48339526967512,-13.486440082180948],[23.482993904964356,-13.486342377112083],[23.48258516956875,-13.486279927627963],[23.482172331559248,-13.486253233046906],[23.48207205755134,-13.486252176363658]]]}"
000000000000000002fb,644561,47MIN47_10_2132022,"{""type"":""Polygon"",""coordinates"":[[[24.434313087514706,-11.686893423771908],[24.43390264001712,-11.686911412213245],[24.433495474298834,-11.68696523370866],[24.43309484590311,-11.687054457922176],[24.432703958110764,-11.687178371450766],[24.4323259363313,-11.687335983527621],[24.43196380311629,-11.68752603394288],[24.431620453994565,-11.687747003118458],[24.43129863432238,-11.687997124256528],[24.431000917333595,-11.688274397464536],[24.430729683565215,-11.688576605743938],[24.4304871018229,-11.688901332714796],[24.430275111838544,-11.689245981934711],[24.430095408758636,-11.689607797657585],[24.429949429587474,-11.689983886866365],[24.42983834169376,-11.69037124240364],[24.4297630334725,-11.690766767015223],[24.429724107237078,-11.691167298114502],[24.429721874398354,-11.691569633069557],[24.429756352969672,-11.691970554810958],[24.429827267417725,-11.692366857555408],[24.429934050860666,-11.692755372439626],[24.43007584959614,-11.693132992859379],[24.430251529923055,-11.693496699311194],[24.43045968720278,-11.693843583537877],[24.430698657087415,-11.694170871784904],[24.43096652882542,-11.694475946981502],[24.431261160538316,-11.694756369669147],[24.43158019634643,-11.695009897509907],[24.4319210852066,-11.695234503218687],[24.432281101311396,-11.695428390775847],[24.432657365886577,-11.69559000979047],[24.433046870212504,-11.695718067899417],[24.433446499685324,-11.695811541102877],[24.433853058725376,-11.695869681953791],[24.434263296333633,-11.695892025535565],[24.43467393209153,-11.695878393180248],[24.435081682396298,-11.695828893897447],[24.435483286721713,-11.695743923502517],[24.435875533694208,-11.695624161451],[24.43625528677566,-11.69547056540469],[24.43661950934735,-11.695284363572727],[24.43696528899437,-11.695067044889083],[24.4372898607962,-11.694820347105013],[24.437590629437135,-11.694546242891702],[24.43786518995972,-11.6942469240644],[24.438111346995086,-11.693924784054136],[24.438327132316655,-11.693582398767399],[24.43851082057658,-11.69322250598679],[24.43866094309936,-11.692847983477472],[24.43877629962231,-11.692461825974563],[24.438855967889122,-11.692067121235555],[24.438899311019934,-11.691667025349254],[24.438905982599113,-11.691264737498734],[24.4388759294402,-11.690863474380173],[24.438809392006117,-11.690466444482041],[24.438706902481364,-11.690076822430422],[24.438569280511878,-11.68969772360547],[24.438397626646644,-11.689332179232068],[24.43819331353381,-11.688983112143703],[24.43795797494162,-11.688653313413395],[24.437693492692297,-11.688345420038434],[24.437401981613178,-11.688061893857276],[24.437085772625743,-11.687805001867149],[24.436747394107574,-11.687576798099643],[24.43638955167638,-11.687379107199101],[24.436015106557726,-11.687213509835116],[24.435627052709286,-11.687081330065615],[24.43522849288453,-11.686983624751562],[24.434822613827095,-11.686921175107855],[24.434412660794088,-11.686894480457894],[24.434313087514706,-11.686893423771908]]]}"
